Data;Value;;Valueee
1;855,5;;855.5
2;860;;860
3;869;;869
4;846,92;;846.92
5;863,64;;863.64
6;690;;690
7;660,1;;660.1
8;502,7;;502.7
9;681;;681
10;609;;609
11;591,17;;591.17
12;604,2;;604.2
13;650,22;;650.22
14;650,33;;650.33
15;674,96;;674.96
16;743,3;;743.3
17;715,01;;715.01
18;711,83;;711.83
19;720,02;;720.02
20;729;;729
21;730,5;;730.5
22;744;;744
23;782;;782
24;800;;800
25;823,5;;823.5
26;904;;904
27;925;;925
28;757,11;;757.11
29;821,17;;821.17
30;821,7;;821.7
31;841;;841
32;890,38;;890.38
33;835,49;;835.49
34;824,83;;824.83
35;819,47;;819.47
36;838;;838
37;813,38;;813.38
38;795;;795
39;817,5;;817.5
40;839;;839
41;829;;829
42;831,55;;831.55
43;822;;822
44;809,29;;809.29
45;774,98;;774.98
46;806,25;;806.25
47;817,8;;817.8
48;748,9;;748.9
49;774,9;;774.9
50;790,09;;790.09
51;795;;795
52;797;;797
53;800;;800
54;799,9;;799.9
55;798,9;;798.9
56;800,53;;800.53
57;784,75;;784.75
58;764,86;;764.86
59;709,97;;709.97
60;695,99;;695.99
61;697,5;;697.5
62;671;;671
63;664,67;;664.67
64;643,52;;643.52
65;591,39;;591.39
66;643,62;;643.62
67;637,13;;637.13
68;599;;599
69;613,44;;613.44
70;615;;615
71;611;;611
72;542;;542
73;555,5;;555.5
74;597,56;;597.56
75;598;;598
76;555,76;;555.76
77;535;;535
78;568;;568
79;569,88;;569.88
80;536,3;;536.3
81;562,3;;562.3
82;554;;554
83;644,03;;644.03
84;656,56;;656.56
85;653,15;;653.15
86;648;;648
87;619,72;;619.72
88;609,97;;609.97
89;627;;627
90;622,6;;622.6
91;626;;626
92;628,45;;628.45
93;629,75;;629.75
94;622,09;;622.09
95;629,02;;629.02
96;624,89;;624.89
97;617,43;;617.43
98;614;;614
99;606,1;;606.1
100;589;;589
101;572,94;;572.94
102;567,1;;567.1
103;568;;568
104;588,71;;588.71
105;579;;579
106;579,5;;579.5
107;484,99;;484.99
108;503,93;;503.93
109;496,49;;496.49
110;467,63;;467.63
111;462,09;;462.09
112;479,9;;479.9
113;435;;435
114;444;;444
115;446,3;;446.3
116;467,78;;467.78
117;463,06;;463.06
118;444;;444
119;445,72;;445.72
120;436,69;;436.69
121;356,95;;356.95
122;416,52;;416.52
123;415,87;;415.87
124;412;;412
125;454,42;;454.42
126;518;;518
127;527;;527
128;487;;487
129;472,5;;472.5
130;494,94;;494.94
131;489,53;;489.53
132;483,65;;483.65
133;473;;473
134;479,9;;479.9
135;492,67;;492.67
136;450,77;;450.77
137;447,82;;447.82
138;425,36;;425.36
139;429,52;;429.52
140;438,88;;438.88
141;438,38;;438.38
142;448,99;;448.99
143;436;;436
144;433,63;;433.63
145;428,89;;428.89
146;425,76;;425.76
147;421;;421
148;428,24;;428.24
149;429,04;;429.04
150;442;;442
151;445,12;;445.12
152;434,81;;434.81
153;433,95;;433.95
154;433,36;;433.36
155;435,7;;435.7
156;439,8;;439.8
157;438,89;;438.89
158;440,95;;440.95
159;439,43;;439.43
160;437,85;;437.85
161;477,9;;477.9
162;480;;480
163;521,94;;521.94
164;511,99;;511.99
165;519,51;;519.51
166;564,01;;564.01
167;576;;576
168;561,5;;561.5
169;564,21;;564.21
170;557,22;;557.22
171;608;;608
172;615;;615
173;628,53;;628.53
174;647,89;;647.89
175;657,01;;657.01
176;627,05;;627.05
177;649;;649
178;639,42;;639.42
179;644,86;;644.86
180;644,54;;644.54
181;639,24;;639.24
182;644,1;;644.1
183;623,29;;623.29
184;576;;576
185;597,01;;597.01
186;571,13;;571.13
187;592;;592
188;585,62;;585.62
189;602,33;;602.33
190;599,49;;599.49
191;588;;588
192;585;;585
193;586,67;;586.67
194;593,79;;593.79
195;584,99;;584.99
196;569,58;;569.58
197;560,64;;560.64
198;576,82;;576.82
199;598,23;;598.23
200;588,25;;588.25
201;595;;595
202;638,15;;638.15
203;629;;629
204;641,11;;641.11
205;636,92;;636.92
206;626,24;;626.24
207;627,99;;627.99
208;630,31;;630.31
209;617,58;;617.58
210;615,78;;615.78
211;615,78;;615.78
212;609,66;;609.66
213;623,01;;623.01
214;627;;627
215;623;;623
216;618,51;;618.51
217;614,67;;614.67
218;611,23;;611.23
219;617;;617
220;620,39;;620.39
221;619,8;;619.8
222;616;;616
223;614,99;;614.99
224;613,53;;613.53
225;610,86;;610.86
226;593,03;;593.03
227;596,68;;596.68
228;590;;590
229;586,49;;586.49
230;577,63;;577.63
231;577,83;;577.83
232;564,83;;564.83
233;577,68;;577.68
234;591;;591
235;581,89;;581.89
236;579,55;;579.55
237;580,04;;580.04
238;579,69;;579.69
239;579,16;;579.16
240;584,23;;584.23
241;587,6;;587.6
242;585,16;;585.16
243;586,1;;586.1
244;572;;572
245;565,83;;565.83
246;537,29;;537.29
247;506,78;;506.78
248;494,46;;494.46
249;514,59;;514.59
250;487;;487
251;440,05;;440.05
252;480;;480
253;506,72;;506.72
254;507,82;;507.82
255;510;;510
256;492,99;;492.99
257;505,01;;505.01
258;498,22;;498.22
259;509,94;;509.94
260;508,26;;508.26
261;502,65;;502.65
262;503,5;;503.5
263;497,2;;497.2
264;475,9;;475.9
265;472,66;;472.66
266;473,98;;473.98
267;470,01;;470.01
268;488,97;;488.97
269;477,89;;477.89
270;482,17;;482.17
271;477,91;;477.91
272;472;;472
273;466,9;;466.9
274;473,74;;473.74
275;472,79;;472.79
276;469,5;;469.5
277;472,98;;472.98
278;469,68;;469.68
279;465,46;;465.46
280;456,89;;456.89
281;447,93;;447.93
282;415,45;;415.45
283;382,58;;382.58
284;401;;401
285;385,12;;385.12
286;386,96;;386.96
287;425,31;;425.31
288;410,55;;410.55
289;404;;404
290;395;;395
291;391;;391
292;370;;370
293;368,82;;368.82
294;382,97;;382.97
295;374,7;;374.7
296;366,31;;366.31
297;342,58;;342.58
298;316,75;;316.75
299;315,88;;315.88
300;325;;325
301;330;;330
302;352;;352
303;360,97;;360.97
304;353,58;;353.58
305;355,01;;355.01
306;375;;375
307;385;;385
308;397,39;;397.39
309;387,04;;387.04
310;376,08;;376.08
311;378,4;;378.4
312;385,94;;385.94
313;384,98;;384.98
314;377,07;;377.07
315;381;;381
316;377,07;;377.07
317;354,17;;354.17
318;352,1;;352.1
319;347,37;;347.37
320;350,24;;350.24
321;347,87;;347.87
322;349,87;;349.87
323;331,08;;331.08
324;342,69;;342.69
325;335,07;;335.07
326;323,14;;323.14
327;323,51;;323.51
328;322;;322
329;325,5;;325.5
330;334,89;;334.89
331;344;;344
332;338,72;;338.72
333;341,37;;341.37
334;362,1;;362.1
335;363,02;;363.02
336;364;;364
337;421;;421
338;413,15;;413.15
339;396,35;;396.35
340;373,57;;373.57
341;384,14;;384.14
342;382,03;;382.03
343;369,99;;369.99
344;376,6;;376.6
345;355,37;;355.37
346;345,36;;345.36
347;350;;350
348;364,98;;364.98
349;373,5;;373.5
350;371,2;;371.2
351;364,23;;364.23
352;366,02;;366.02
353;373;;373
354;373,99;;373.99
355;374,39;;374.39
356;376,55;;376.55
357;377,5;;377.5
358;370,12;;370.12
359;364;;364
360;369,99;;369.99
361;369,13;;369.13
362;367,57;;367.57
363;356,99;;356.99
364;345,92;;345.92
365;340;;340
366;341,49;;341.49
367;346;;346
368;342,57;;342.57
369;343,06;;343.06
370;338,45;;338.45
371;320,41;;320.41
372;319;;319
373;311,31;;311.31
374;314,99;;314.99
375;328;;328
376;317;;317
377;328,7;;328.7
378;330;;330
379;319,01;;319.01
380;316,52;;316.52
381;324,96;;324.96
382;313;;313
383;313,77;;313.77
384;311,34;;311.34
385;308,5;;308.5
386;316,77;;316.77
387;314,25;;314.25
388;315,03;;315.03
389;281,08;;281.08
390;264,19;;264.19
391;274,47;;274.47
392;286,19;;286.19
393;294,34;;294.34
394;283,35;;283.35
395;290,41;;290.41
396;274,8;;274.8
397;265,66;;265.66
398;267,8;;267.8
399;225,86;;225.86
400;178,1;;178.1
401;209,84;;209.84
402;208,1;;208.1
403;199,26;;199.26
404;210,34;;210.34
405;214,86;;214.86
406;211,31;;211.31
407;226,9;;226.9
408;233,41;;233.41
409;232,88;;232.88
410;247,85;;247.85
411;253,72;;253.72
412;273,47;;273.47
413;263,48;;263.48
414;233,91;;233.91
415;233,51;;233.51
416;226,43;;226.43
417;217,46;;217.46
418;226,97;;226.97
419;238,23;;238.23
420;227,27;;227.27
421;226,85;;226.85
422;217,11;;217.11
423;222,27;;222.27
424;227,75;;227.75
425;223,41;;223.41
426;220,11;;220.11
427;219,84;;219.84
428;219,19;;219.19
429;221,76;;221.76
430;235,43;;235.43
431;257,32;;257.32
432;234,82;;234.82
433;233,84;;233.84
434;243,61;;243.61
435;236,33;;236.33
436;240,28;;240.28
437;243,78;;243.78
438;244,53;;244.53
439;235,98;;235.98
440;238,89;;238.89
441;238,74;;238.74
442;237,47;;237.47
443;236,43;;236.43
444;253,83;;253.83
445;254,26;;254.26
446;260,2;;260.2
447;275,67;;275.67
448;281,7;;281.7
449;273,09;;273.09
450;276,18;;276.18
451;272,72;;272.72
452;276,26;;276.26
453;274,35;;274.35
454;289,61;;289.61
455;291,76;;291.76
456;296,38;;296.38
457;294,35;;294.35
458;285,34;;285.34
459;281,88;;281.88
460;286,39;;286.39
461;290,59;;290.59
462;285,5;;285.5
463;256,3;;256.3
464;260,93;;260.93
465;261,75;;261.75
466;260,02;;260.02
467;267,96;;267.96
468;266,74;;266.74
469;245,59;;245.59
470;246,2;;246.2
471;248,53;;248.53
472;247,03;;247.03
473;252,8;;252.8
474;242,71;;242.71
475;247,53;;247.53
476;244,22;;244.22
477;247,27;;247.27
478;253;;253
479;254,32;;254.32
480;253,7;;253.7
481;260,6;;260.6
482;255,49;;255.49
483;253,18;;253.18
484;245,02;;245.02
485;243,68;;243.68
486;236,07;;236.07
487;236,55;;236.55
488;236,15;;236.15
489;224,59;;224.59
490;219,16;;219.16
491;223,83;;223.83
492;228,57;;228.57
493;222,88;;222.88
494;223,36;;223.36
495;222,6;;222.6
496;224,63;;224.63
497;235,27;;235.27
498;234,18;;234.18
499;236,46;;236.46
500;231,27;;231.27
501;226,39;;226.39
502;219,43;;219.43
503;229,29;;229.29
504;225,85;;225.85
505;225,81;;225.81
506;236,15;;236.15
507;232,08;;232.08
508;234,93;;234.93
509;240,36;;240.36
510;239,02;;239.02
511;236,12;;236.12
512;229,78;;229.78
513;237,33;;237.33
514;243,86;;243.86
515;241,83;;241.83
516;240,3;;240.3
517;242,16;;242.16
518;241,11;;241.11
519;236,38;;236.38
520;236,93;;236.93
521;237,6;;237.6
522;236,15;;236.15
523;236,8;;236.8
